主字段,章节,等级,知识解析,拓展解析
耳穴定位与主治——对耳屏/耳甲,针灸学::刺灸法::耳针法,1,枕::在对耳屏外侧面的后部，即对耳屏3区。[[主治]]：头晕、头痛、癫痫、哮喘、神经衰弱<br>###皮质下::在对耳屏内侧面，即对耳屏4区。[[主治]]：痛证、间日疟、神经衰弱、假性近视、失眠<br>###缘中::在对耳屏游离缘上，对屏尖与轮屏切迹之中点处，即对耳屏2、3、4区交点处。[[主治]]：遗尿、内耳性眩晕、尿崩症、功能失调性子宫出血<br>###脑干::在轮屏切迹处，即对耳屏3、4区之间。[[主治]]：眩晕、后头痛、假性近视<br>###口::在耳轮脚下方前1/3处，即耳甲1区。[[主治]]：面瘫、口腔炎、胆囊炎、胆石症、戒断综合征、牙周炎、舌炎<br>###胃::在耳轮脚消失处，即耳甲4区。[[主治]]：胃痉挛、胃炎、胃溃疡、消化不良、恶心呕吐、前额痛、牙痛、失眠<br>###大肠::在耳轮脚及部分耳轮与AB线之间的前1/3处，即耳甲7区。[[主治]]：腹泻、便秘、咳嗽、牙痛、痤疮<br>###艇角::在对耳轮下脚下方前部，即耳甲8区。[[主治]]：前列腺炎、尿道炎<br>###膀胱::在对耳轮下脚下方中部，即耳甲9区。[[主治]]：膀胱炎、遗尿、尿潴留、腰痛、坐骨神经痛、后头痛<br>###肾::在对耳轮下脚下方后部，即耳甲10区。[[主治]]：腰痛、耳鸣、神经衰弱、肾盂肾炎、遗尿、遗精、阳痿、早泄、哮喘、月经不调<br>###胰胆::在耳甲艇的后上部，即耳甲11区。[[主治]]：胆囊炎、胆石症、胆道蛔虫症、偏头痛、带状疱疹、中耳炎、耳鸣、急性胰腺炎,特点::耳甲穴位对应内脏器官，对耳屏对应头面部
耳穴定位与主治——耳甲续/耳垂/耳背,针灸学::刺灸法::耳针法,1,肝::在耳甲艇的后下部，即耳甲12区。[[主治]]：胁痛、眩晕、经前期紧张症、月经不调、围绝经期综合征、高血压、近视、单纯性青光眼<br>###脾::在BD线下方，耳甲腔的后上部，即耳甲13区。[[主治]]：腹胀、腹泻、便秘、食欲不振、功能失调性子宫出血、白带过多、内耳性眩晕<br>###心::在耳甲腔正中凹陷处，即耳甲15区。[[主治]]：心动过速、心律不齐、心绞痛、无脉症、神经衰弱、癔症、口舌生疮<br>###肺::在心、气管区周围处，即耳甲14区。[[主治]]：咳嗽、胸闷、声音嘶哑、皮肤瘙痒症、荨麻疹、便秘、戒断综合征<br>###三焦::在外耳门后下，肺与内分泌区之间，即耳甲17区。[[主治]]：便秘、腹胀、上肢外侧疼痛、水肿、耳鸣、耳聋、糖尿病<br>###内分泌::在屏间切迹内，耳甲腔的底部，即耳甲18区。[[主治]]：痛经、月经不调、围绝经期综合征、痤疮、间日疟、甲状腺功能减退或亢进症<br>###牙::在耳垂正面前上部，即耳垂1区。[[主治]]：牙痛、牙周炎、低血压<br>###眼::在耳垂正面中央部，即耳垂5区。[[主治]]：急性结膜炎、电光性眼炎、假性近视、睑腺炎<br>###面颊::在耳垂正面眼区与内耳区之间，即耳垂5、6区交界处。[[主治]]：周围性面瘫、三叉神经痛、痤疮、扁平疣、面肌痉挛、腮腺炎<br>###扁桃体::在耳垂正面下部，即耳垂7、8、9区。[[主治]]：扁桃体炎、咽炎<br>###耳背沟::在对耳轮沟和对耳轮上、下脚沟处。[[主治]]：高血压、皮肤瘙痒症,特点::耳甲穴位对应五脏六腑，耳垂对应头面部器官
耳针毫针法操作,针灸学::刺灸法::耳针法,1,选穴和消毒::根据病情选择拟针刺耳穴（包括用探棒或耳穴探测仪所测得的敏感点）。针刺前必须以0.5%～1%碘伏严格消毒耳穴<br>###进针和行针::患者一般采用坐位，如年老体弱、病重或精神紧张者宜采用卧位。针具选用26～30号0.3～0.5寸的不锈钢毫针。进针时，医者押手固定耳郭，刺手拇、食二指持针，用快速插入的速刺法或慢慢捻入的慢刺法进针。针刺深度以[[0.1～0.3cm]]为宜，可刺入皮下或软骨浅层。进针后，如局部感应强烈，患者症状往往有即刻减轻感；如局部无针感，应调整针刺的方向、深度和角度，或以捻转法行针<br>###留针和出针::得气后留针一段时间，慢性病、疼痛性疾病留针时间适当延长。留针期间，可间隔[[10～15分钟]]行针1次。出针时，医者一手固定耳郭，另一手将针拔出，再用无菌干棉球或棉签按压针孔，以免出血,特点::耳针毫针法针刺深度浅，仅0.1～0.3cm
耳针其他操作方法,针灸学::刺灸法::耳针法,1,电针法::毫针针刺获得针感后，连接电针仪进行治疗，具体操作参照电针法。通电时间一般以10～20分钟为宜。电针法适用于[[神经系统疾患、内脏痉挛、哮喘等症]]的治疗<br>###埋针法::是将揿钉型皮内针埋入耳穴以防治疾病的方法，主要用于[[慢性疾病和疼痛性疾病]]，其刺激持续时间长，有巩固疗效和防止复发的作用。操作时，耳穴常规消毒后，医者押手固定耳郭，刺手用镊子或止血钳夹住揿钉型皮内针针柄，轻轻将其刺入所选耳穴，再用医用胶布固定并适度按压。一般选用患侧耳郭，必要时双耳同时埋针。每次留针[[1～3日]]，留针期间嘱患者每日自行按压3次。起针时应再次消毒埋针部位<br>###压丸法::是使用丸状物贴压耳穴以防治疾病的方法。此法能持续刺激穴位，疼痛轻微，无副作用，是[[目前最常用]]的方法。操作时，耳郭常规消毒，医者一手固定耳郭，另一手用镊子夹取耳穴压丸贴片，贴压耳穴并适度按揉。宜留置[[3～5天]]，根据病情嘱患者定时按揉。压丸材料多为王不留行籽、油菜籽、小米、莱菔子等表面光滑、大小和硬度适宜、易于获取的丸状物。目前，临床上广泛使用的是王不留行籽和磁珠,特点::压丸法是耳针最常用的方法
耳针刺血法与穴位注射法,针灸学::刺灸法::耳针法,1,刺血法::是用针具点刺耳穴出血以防治疾病的方法。常用于头面部炎性疾病和疼痛性疾病，有[[清热解毒、行气活血]]的作用。刺血前应按揉耳郭使针刺部位充血，常规消毒。操作时医者押手固定耳郭，刺手持针点刺耳穴，挤压使之适量出血。施术后用无菌干棉球或棉签压迫止血，止血后再次消毒刺血处<br>###穴位注射法::是将微量药物注入耳穴的治疗方法。一般使用1mL注射器和26号注射针头，依病情选用相应的药物和耳穴。操作时，押手固定耳郭，刺手持注射器刺入已消毒的耳穴皮内或皮下，缓缓推入[[0.1～0.3mL]]药物，耳郭可有痛、胀、红、热等反应。注射完毕后，用无菌干棉球轻轻按压针孔,特点::刺血法和穴位注射法用于特殊治疗需求
耳针适应范围,针灸学::刺灸法::耳针法,1,疼痛性疾病::如各种扭挫伤等外伤性疼痛，头痛、肋间神经痛等神经性疼痛，手术后伤口痛及胃痛、胆绞痛等内脏痛<br>###炎性疾病及传染病::如急性眼结合膜炎、中耳炎、急慢性结肠炎、牙周炎、咽喉炎、扁桃体炎、胆囊炎、流感、百日咳、细菌性痢疾、疟疾、青年扁平疣、腮腺炎、气管炎、盆腔炎、风湿性关节炎、面神经炎、末梢神经炎等<br>###功能紊乱性疾病::如胃肠神经官能症、心脏神经症、心律不齐、高血压、眩晕症、多汗症、月经不调、遗尿、神经衰弱、癔症等<br>###过敏及变态反应性疾病::如荨麻疹、哮喘、过敏性鼻炎、过敏性结肠炎、过敏性紫癜等<br>###内分泌代谢紊乱性疾病::如甲状腺功能亢进或低下、糖尿病、肥胖症、绝经前后诸证等<br>###其他::耳针可用于针刺麻醉、催乳、催产；预防感冒、晕车、晕船；预防和治疗输血、输液反应，还可用于减肥、美容、戒烟、戒毒、延缓衰老、防病保健等,特点::耳针适应范围广泛，涵盖六大类疾病
耳针注意事项,针灸学::刺灸法::耳针法,1,严格消毒::严格消毒，防止感染<br>###针后处理::针刺后如果针孔发红、肿胀，应及时涂碘伏消毒，防止化脓性软骨膜炎的发生。耳穴局部有湿疹、溃疡、冻疮时，该耳穴禁用耳针。有习惯性流产史的孕妇禁用耳针；妊娠期间慎用耳针。紧张、疲劳、虚弱患者宜卧位针刺以防晕针<br>###留针时间::湿热天气，耳穴压丸、埋针留置时间不宜过长，耳穴压丸宜3～5日，耳穴埋针宜1～3日。对普通胶布过敏者宜改用脱敏胶布<br>###刺血禁忌::耳穴刺血施术时，医者应避免接触患者血液。凝血机制障碍患者禁用耳穴刺血法<br>###配合活动::对扭伤和运动障碍的患者，进针后嘱其适当活动患部，有助于提高疗效,特点::耳针注意事项共5条
耳针法选穴原则,针灸学::刺灸法::耳针法,1,按相应部位选穴::即选用与病变部位相对应的耳穴。如胃病取胃穴，痤疮取面颊穴，目病选眼穴，膝关节痛选膝穴等<br>###按脏腑辨证选穴::根据脏腑理论，按各脏腑的生理功能和病理反应辨证取穴。如脱发、耳疾取肾穴，皮肤病取肺、大肠穴，眼疾选肝穴等<br>###按经络辨证选穴::根据十二经脉循行和其病候取穴。如坐骨神经痛，取膀胱或胰胆穴，牙痛取大肠穴等<br>###按西医理论选穴::耳穴中一些穴名是根据西医理论命名的，如交感、肾上腺、内分泌等。这些穴位的功能基本与西医理论一致，选穴时应予以考虑。如炎性疾病取肾上腺穴，月经不调选内分泌穴，神经系统疾病选脑干、脑点<br>###按临床经验选穴::临床实践发现有些耳穴具有治疗本部位以外疾病的作用，如外生殖器穴可以治疗腰腿痛。如神门穴是止痛、镇静的要穴，枕是止晕要穴，耳尖穴放血可用于退热、降压、镇静、抗过敏等,特点::耳针选穴原则共5条
第四章针灸治疗考纲,针灸学::针灸治疗::治疗总论,1,治疗总论::包括针灸治疗作用、针灸治疗原则（补虚泻实、清热温寒、治病求本、三因制宜）、针灸临床诊治特点、针灸选穴原则、常用配穴方法、刺灸方法的选择、特定穴的应用<br>###治疗原则::补虚泻实（虚则补之、陷下则灸之、实则泻之、菀陈则除之、不盛不虚以经取之）、清热温寒（热则疾之、寒则留之）、治病求本（急则治标、缓则治本、标本同治）、三因制宜（因人制宜、因时制宜、因地制宜）<br>###选穴原则::近部选穴、远部选穴、辨证选穴、对症选穴的概念及应用举例<br>###配穴方法::按部配穴（远近配穴、上下配穴、前后配穴、左右配穴）、按经配穴（本经配穴、表里经配穴、同名经配穴）的概念及临床应用<br>###特定穴应用::五输穴、募穴、背俞穴、原穴、络穴、八脉交会穴、八会穴、郄穴、下合穴、交会穴的概念、组成、分布特点及临床应用,特点::第四章为针灸治疗，包括治疗总论和治疗各论
治疗各论考纲,针灸学::针灸治疗::治疗各论,1,内科病证::中风、眩晕、头痛、面瘫、面痛、感冒、咳嗽、哮喘、心悸、不寐、郁证、痫病、消渴、胁痛、胃痛、腹痛、呕吐、泄泻、便秘、癃闭、痿证、痹证、腰痛、坐骨神经痛的基本治疗（治法、处方配穴、操作及方义分析）、其他治疗<br>###妇科、儿科病证::月经不调、痛经、经闭、崩漏、带下病、绝经前后诸症、缺乳、遗尿、注意力缺陷多动障碍的基本治疗（治法、处方配穴、操作及方义分析）、其他治疗<br>###皮肤科、外科、骨伤科病证::瘾疹、湿疹、蛇串疮、神经性皮炎、痄腮、乳痈、扭伤、项痹、落枕、漏肩风、膝骨关节炎的基本治疗（治法、处方配穴、操作及方义分析）、其他治疗<br>###五官科病证::目赤肿痛、近视、耳鸣耳聋、鼻渊、牙痛、咽喉肿痛的基本治疗（治法、处方配穴、操作及方义分析）、其他治疗<br>###急症::晕厥、虚脱、高热、抽搐、心绞痛、胆绞痛、胆道蛔虫症、肾绞痛的基本治疗（治法、处方配穴、操作及方义分析）、其他治疗,特点::治疗各论涵盖内科、妇科儿科、皮肤外科骨伤科、五官科、急症五大类
针灸治疗作用,针灸学::针灸治疗::治疗总论,1,疏通经络::使瘀阻的经络通畅而发挥其正常生理功能。[[特性汇总]]：针灸最基本和最直接的治疗作用。主要是根据经络的循行，选择相应的腧穴和针刺手法及三棱针点刺放血、梅花针叩刺、拔罐等，使经络通畅，气血运行正常，达到治疗疾病的目的<br>###调和阴阳::通过经络阴阳属性、经穴配伍和针刺手法使机体从阴阳失衡状态向平衡状态转化。[[特性汇总]]：针灸治疗最终要达到的根本目的。举例：①中风后出现的足内翻，采用补阳经而泻阴经的针刺手法，以平衡阴阳；②阳跷、阴跷主眼睑开合，故失眠补阴跷（照海）泻阳跷（申脉），多寐补阳跷（申脉）泻阴跷（照海）<br>###扶正祛邪::针灸治病就在于能够发挥其扶助正气，祛除邪气的作用。[[特性汇总]]：针灸治疗疾病的作用过程。扶助机体正气，及祛除病邪，使疾病向良性方向转归,特点::针灸治疗三大作用：疏通经络、调和阴阳、扶正祛邪
补虚泻实——补虚,针灸学::针灸治疗::治疗总论,1,虚则补之::虚证用补法：主要通过选择具有补虚作用的腧穴，选用具有补虚作用的针灸方法，采用刺灸手法之补法等来实现。举例：①在有关经络的背俞穴、原穴施行补法，可改善脏腑功能，补益阴阳、气血等的不足；②关元、气海、命门、肾俞等穴，也具有偏补的作用特点；③再如采用毫针补法，艾灸法（如附子饼灸等）等亦可补虚<br>###陷下则灸之::气虚下陷的治疗原则：以灸法为主，温补阳气，升提举陷，也属于虚则补之的范畴。对于因脏腑经络之气虚弱，中气不足，气血及内脏失于固摄而出现的一系列病证，如[[久泻、久痢、遗尿、脱肛、子宫脱垂]]等，常灸百会、神阙、气海、关元等穴以补中益气、升阳举陷,特点::补虚包括虚则补之和陷下则灸之
